"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2022-12-31 23:00:00","2023-01-01 00:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,281622,281622,0.28162249922752,0,0
"2023-01-01 00:00:00","2023-01-01 01:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,321332,321332,0.32133251428604,0,0
"2023-01-01 01:00:00","2023-01-01 02:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,324468,324468,0.32446798682213,0,0
"2023-01-01 02:00:00","2023-01-01 03:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,326559,326559,0.32655826210976,0,0
"2023-01-01 03:00:00","2023-01-01 04:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,329955,329955,0.3299552500248,0,0
"2023-01-01 04:00:00","2023-01-01 05:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,330608,330608,0.33060848712921,0,0
"2023-01-01 05:00:00","2023-01-01 06:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,332045,332045,0.332045763731,0,0
"2023-01-01 06:00:00","2023-01-01 07:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,338121,338121,0.33812075853348,0,0
"2023-01-01 07:00:00","2023-01-01 08:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,336096,336096,0.33609575033188,0,0
"2023-01-01 08:00:00","2023-01-01 09:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,329889,329889,0.32989001274109,0,0
"2023-01-01 09:00:00","2023-01-01 10:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,316432,316432,0.3164330124855,0,0
"2023-01-01 10:00:00","2023-01-01 11:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,317414,317414,0.317412763834,0,0
"2023-01-01 11:00:00","2023-01-01 12:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,316826,316826,0.31682500243187,0,0
"2023-01-01 12:00:00","2023-01-01 13:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,316890,316890,0.31689050793648,0,0
"2023-01-01 13:00:00","2023-01-01 14:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,317022,317022,0.31702074408531,0,0
"2023-01-01 14:00:00","2023-01-01 15:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,321136,321136,0.3211362361908,0,0
"2023-01-01 15:00:00","2023-01-01 16:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,323095,323095,0.32309624552727,0,0
"2023-01-01 16:00:00","2023-01-01 17:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,362617,362617,0.36261749267578,0,0
"2023-01-01 17:00:00","2023-01-01 18:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,365231,365231,0.36523026227951,0,0
"2023-01-01 18:00:00","2023-01-01 19:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,350205,350205,0.3502057492733,0,0
"2023-01-01 19:00:00","2023-01-01 20:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,317936,317936,0.3179352581501,0,0
"2023-01-01 20:00:00","2023-01-01 21:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,318784,318784,0.31878450512886,0,0
"2023-01-01 21:00:00","2023-01-01 22:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,324990,324990,0.32499074935913,0,0
"2023-01-01 22:00:00","2023-01-01 23:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,320483,320483,0.32048323750496,0,0
"2023-01-01 23:00:00","2023-01-02 00:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,315061,315061,0.31506100296974,0,0
"2023-01-02 00:00:00","2023-01-02 01:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,318458,318458,0.3184577524662,0,0
"2023-01-02 01:00:00","2023-01-02 02:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,324991,324991,0.32499051094055,0,0
"2023-01-02 02:00:00","2023-01-02 03:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,316564,316564,0.31656348705292,0,0
"2023-01-02 03:00:00","2023-01-02 04:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,343151,343151,0.34315076470375,0,0
"2023-01-02 04:00:00","2023-01-02 05:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,364773,364773,0.3647732436657,0,0
"2023-01-02 05:00:00","2023-01-02 06:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,401290,401290,0.40128976106644,0,0
"2023-01-02 06:00:00","2023-01-02 07:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,468902,468902,0.46890100836754,0,0
"2023-01-02 07:00:00","2023-01-02 08:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,518809,518809,0.51880902051926,0,0
"2023-01-02 08:00:00","2023-01-02 09:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,526125,526125,0.52612525224686,0,0
"2023-01-02 09:00:00","2023-01-02 10:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,529587,529587,0.5295877456665,0,0
"2023-01-02 10:00:00","2023-01-02 11:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,527825,527825,0.52782374620438,0,0
"2023-01-02 11:00:00","2023-01-02 12:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,497383,497383,0.49738249182701,0,0
"2023-01-02 12:00:00","2023-01-02 13:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,532788,532788,0.53278827667236,0,0
"2023-01-02 13:00:00","2023-01-02 14:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,545788,545788,0.54578775167465,0,0
"2023-01-02 14:00:00","2023-01-02 15:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,544416,544416,0.54441624879837,0,0
"2023-01-02 15:00:00","2023-01-02 16:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,564536,564536,0.56453627347946,0,0
"2023-01-02 16:00:00","2023-01-02 17:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,641619,641619,0.6416192650795,0,0
"2023-01-02 17:00:00","2023-01-02 18:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,666573,666573,0.6665735244751,0,0
"2023-01-02 18:00:00","2023-01-02 19:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,685713,685713,0.68571352958679,0,0
"2023-01-02 19:00:00","2023-01-02 20:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,663765,663765,0.66376447677612,0,0
"2023-01-02 20:00:00","2023-01-02 21:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,640182,640182,0.64018225669861,0,0
"2023-01-02 21:00:00","2023-01-02 22:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,658408,658408,0.65840798616409,0,0
"2023-01-02 22:00:00","2023-01-02 23:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,699236,699236,0.69923573732376,0,0
"2023-01-02 23:00:00","2023-01-03 00:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,639659,639659,0.63966000080109,0,0
"2023-01-03 00:00:00","2023-01-03 01:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,595043,595043,0.59504300355911,0,0
"2023-01-03 01:00:00","2023-01-03 02:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,564601,564601,0.56460177898407,0,0
"2023-01-03 02:00:00","2023-01-03 03:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,563033,563033,0.56303399801254,0,0
"2023-01-03 03:00:00","2023-01-03 04:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,578190,578190,0.57818901538849,0,0
"2023-01-03 04:00:00","2023-01-03 05:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,693748,693748,0.69374847412109,0,0
"2023-01-03 05:00:00","2023-01-03 06:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,774555,774555,0.77455526590347,0,0
"2023-01-03 06:00:00","2023-01-03 07:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,811791,811791,0.81179052591324,0,0
"2023-01-03 07:00:00","2023-01-03 08:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,817866,817866,0.81786549091339,0,0
"2023-01-03 08:00:00","2023-01-03 09:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,804016,804016,0.80401647090912,0,0
"2023-01-03 09:00:00","2023-01-03 10:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,792847,792847,0.79284602403641,0,0
"2023-01-03 10:00:00","2023-01-03 11:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,791736,791736,0.79173547029495,0,0
"2023-01-03 11:00:00","2023-01-03 12:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,796047,796047,0.79604697227478,0,0
"2023-01-03 12:00:00","2023-01-03 13:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,797484,797484,0.79748451709747,0,0
"2023-01-03 13:00:00","2023-01-03 14:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,781610,781610,0.78161025047302,0,0
"2023-01-03 14:00:00","2023-01-03 15:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,777821,777821,0.77782148122787,0,0
"2023-01-03 15:00:00","2023-01-03 16:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,785139,785139,0.78513777256012,0,0
"2023-01-03 16:00:00","2023-01-03 17:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,783112,783112,0.7831130027771,0,0
"2023-01-03 17:00:00","2023-01-03 18:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,779062,779062,0.77906274795532,0,0
"2023-01-03 18:00:00","2023-01-03 19:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,765280,765280,0.76527923345566,0,0
"2023-01-03 19:00:00","2023-01-03 20:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,754827,754827,0.75482702255249,0,0
"2023-01-03 20:00:00","2023-01-03 21:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,713345,713345,0.7133457660675,0,0
"2023-01-03 21:00:00","2023-01-03 22:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,592496,592496,0.59249526262283,0,0
"2023-01-03 22:00:00","2023-01-03 23:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,490653,490653,0.49065425992012,0,0
"2023-01-03 23:00:00","2023-01-04 00:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,428530,428530,0.42853024601936,0,0
"2023-01-04 00:00:00","2023-01-04 01:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,395018,395018,0.39501875638962,0,0
"2023-01-04 01:00:00","2023-01-04 02:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,379798,379798,0.37979799509048,0,0
"2023-01-04 02:00:00","2023-01-04 03:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,377055,377055,0.37705424427986,0,0
"2023-01-04 03:00:00","2023-01-04 04:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,377773,377773,0.37777325510979,0,0
"2023-01-04 04:00:00","2023-01-04 05:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,382999,382999,0.3829990029335,0,0
"2023-01-04 05:00:00","2023-01-04 06:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,386788,386788,0.38678750395775,0,0
"2023-01-04 06:00:00","2023-01-04 07:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,440550,440550,0.44054999947548,0,0
"2023-01-04 07:00:00","2023-01-04 08:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,506462,506462,0.50646251440048,0,0
"2023-01-04 08:00:00","2023-01-04 09:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,587009,587009,0.58700799942017,0,0
"2023-01-04 09:00:00","2023-01-04 10:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,648152,648152,0.64815175533295,0,0
"2023-01-04 10:00:00","2023-01-04 11:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,617645,617645,0.61764526367188,0,0
"2023-01-04 11:00:00","2023-01-04 12:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,609415,609415,0.60941451787949,0,0
"2023-01-04 12:00:00","2023-01-04 13:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,618559,618559,0.61856025457382,0,0
"2023-01-04 13:00:00","2023-01-04 14:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,612680,612680,0.61268073320389,0,0
"2023-01-04 14:00:00","2023-01-04 15:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,616470,616470,0.61646950244904,0,0
"2023-01-04 15:00:00","2023-01-04 16:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,641555,641555,0.64155423641205,0,0
"2023-01-04 16:00:00","2023-01-04 17:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,677025,677025,0.67702573537827,0,0
"2023-01-04 17:00:00","2023-01-04 18:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,668990,668990,0.66899073123932,0,0
"2023-01-04 18:00:00","2023-01-04 19:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,629861,629861,0.62986099720001,0,0
"2023-01-04 19:00:00","2023-01-04 20:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,594652,594652,0.59465098381042,0,0
"2023-01-04 20:00:00","2023-01-04 21:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,521749,521749,0.521748483181,0,0
"2023-01-04 21:00:00","2023-01-04 22:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,439243,439243,0.43924376368523,0,0
"2023-01-04 22:00:00","2023-01-04 23:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,395737,395737,0.39573699235916,0,0
"2023-01-04 23:00:00","2023-01-05 00:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,396913,396913,0.39691299200058,0,0
"2023-01-05 00:00:00","2023-01-05 01:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,391165,391165,0.39116424322128,0,0
"2023-01-05 01:00:00","2023-01-05 02:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,400898,400898,0.40089774131775,0,0
"2023-01-05 02:00:00","2023-01-05 03:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,394300,394300,0.39429974555969,0,0
"2023-01-05 03:00:00","2023-01-05 04:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,381823,381823,0.3818227648735,0,0
"2023-01-05 04:00:00","2023-01-05 05:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,387572,387572,0.38757175207138,0,0
"2023-01-05 05:00:00","2023-01-05 06:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,427093,427093,0.42709323763847,0,0
"2023-01-05 06:00:00","2023-01-05 07:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,529000,529000,0.52899974584579,0,0
"2023-01-05 07:00:00","2023-01-05 08:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,657101,657101,0.65710151195526,0,0
"2023-01-05 08:00:00","2023-01-05 09:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,742939,742939,0.74293798208237,0,0
"2023-01-05 09:00:00","2023-01-05 10:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,763450,763450,0.76345002651215,0,0
"2023-01-05 10:00:00","2023-01-05 11:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,754697,754697,0.75469624996185,0,0
"2023-01-05 11:00:00","2023-01-05 12:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,752541,752541,0.75254100561142,0,0
"2023-01-05 12:00:00","2023-01-05 13:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,730984,730984,0.73098349571228,0,0
"2023-01-05 13:00:00","2023-01-05 14:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,751757,751757,0.75175702571869,0,0
"2023-01-05 14:00:00","2023-01-05 15:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,756982,756982,0.75698322057724,0,0
"2023-01-05 15:00:00","2023-01-05 16:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,779389,779389,0.7793892621994,0,0
"2023-01-05 16:00:00","2023-01-05 17:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,783179,783179,0.7831779718399,0,0
"2023-01-05 17:00:00","2023-01-05 18:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,796374,796374,0.79637372493744,0,0
"2023-01-05 18:00:00","2023-01-05 19:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,779128,779128,0.77912801504135,0,0
"2023-01-05 19:00:00","2023-01-05 20:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,751561,751561,0.75156098604202,0,0
"2023-01-05 20:00:00","2023-01-05 21:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,734838,734838,0.73483800888062,0,0
"2023-01-05 21:00:00","2023-01-05 22:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,680945,680945,0.68094497919083,0,0
"2023-01-05 22:00:00","2023-01-05 23:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,597133,597133,0.59713351726532,0,0
"2023-01-05 23:00:00","2023-01-06 00:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,549839,549839,0.54983824491501,0,0
"2023-01-06 00:00:00","2023-01-06 01:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,483403,483403,0.48340299725533,0,0
"2023-01-06 01:00:00","2023-01-06 02:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,427812,427812,0.42781150341034,0,0
"2023-01-06 02:00:00","2023-01-06 03:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,408998,408998,0.4089982509613,0,0
"2023-01-06 03:00:00","2023-01-06 04:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,415923,415923,0.41592249274254,0,0
"2023-01-06 04:00:00","2023-01-06 05:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,418014,418014,0.41801273822784,0,0
"2023-01-06 05:00:00","2023-01-06 06:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,455509,455509,0.45550951361656,0,0
"2023-01-06 06:00:00","2023-01-06 07:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,559963,559963,0.55996352434158,0,0
"2023-01-06 07:00:00","2023-01-06 08:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,711582,711582,0.71158224344254,0,0
"2023-01-06 08:00:00","2023-01-06 09:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,762601,762601,0.76260101795197,0,0
"2023-01-06 09:00:00","2023-01-06 10:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,756525,756525,0.75652551651001,0,0
"2023-01-06 10:00:00","2023-01-06 11:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,710929,710929,0.7109289765358,0,0
"2023-01-06 11:00:00","2023-01-06 12:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,701000,701000,0.70099973678589,0,0
"2023-01-06 12:00:00","2023-01-06 13:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,737320,737320,0.73732000589371,0,0
"2023-01-06 13:00:00","2023-01-06 14:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,739869,739869,0.73986798524857,0,0
"2023-01-06 14:00:00","2023-01-06 15:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,744899,744899,0.74489772319794,0,0
"2023-01-06 15:00:00","2023-01-06 16:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,742481,742481,0.74248075485229,0,0
"2023-01-06 16:00:00","2023-01-06 17:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,745225,745225,0.74522477388382,0,0
"2023-01-06 17:00:00","2023-01-06 18:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,762993,762993,0.76299297809601,0,0
"2023-01-06 18:00:00","2023-01-06 19:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,769067,769067,0.76906824111938,0,0
"2023-01-06 19:00:00","2023-01-06 20:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,727652,727652,0.72765225172043,0,0
"2023-01-06 20:00:00","2023-01-06 21:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,706945,706945,0.70694398880005,0,0
"2023-01-06 21:00:00","2023-01-06 22:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,609480,609480,0.60947972536087,0,0
"2023-01-06 22:00:00","2023-01-06 23:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,456293,456293,0.45629325509071,0,0
"2023-01-06 23:00:00","2023-01-07 00:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,364250,364250,0.36425051093102,0,0
"2023-01-07 00:00:00","2023-01-07 01:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,324403,324403,0.32440251111984,0,0
"2023-01-07 01:00:00","2023-01-07 02:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,317740,317740,0.31773948669434,0,0
"2023-01-07 02:00:00","2023-01-07 03:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,315453,315453,0.31545299291611,0,0
"2023-01-07 03:00:00","2023-01-07 04:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,316826,316826,0.31682449579239,0,0
"2023-01-07 04:00:00","2023-01-07 05:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,317413,317413,0.317412763834,0,0
