"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2022-12-31 23:00:00","2023-01-01 00:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,10927748,10927748,0.39820176362991,1552968,0.14213374257088
"2023-01-01 00:00:00","2023-01-01 01:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,10856914,10856914,0.39561149477959,1523569,0.14033150672913
"2023-01-01 01:00:00","2023-01-01 02:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,10795746,10795746,0.39337375760078,1511935,0.14004875719547
"2023-01-01 02:00:00","2023-01-01 03:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,10749906,10749906,0.3916944861412,1514511,0.14088450372219
"2023-01-01 03:00:00","2023-01-01 04:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,10779230,10779230,0.39275425672531,1502418,0.13938124477863
"2023-01-01 04:00:00","2023-01-01 05:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,10853524,10853524,0.39545199275017,1523539,0.14037199318409
"2023-01-01 05:00:00","2023-01-01 06:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,10952135,10952135,0.39903625845909,1541122,0.14071625471115
"2023-01-01 06:00:00","2023-01-01 07:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,11468081,11468081,0.41782501339912,1604974,0.13995225727558
"2023-01-01 07:00:00","2023-01-01 08:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,11581468,11581468,0.42194649577141,1637926,0.14143699407578
"2023-01-01 08:00:00","2023-01-01 09:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,11628615,11628615,0.42365449666977,1664035,0.14309650659561
"2023-01-01 09:00:00","2023-01-01 10:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,12032331,12032331,0.4383524954319,1652715,0.13745574653149
"2023-01-01 10:00:00","2023-01-01 11:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,13355379,13355379,0.48654198646545,1641423,0.12301450222731
"2023-01-01 11:00:00","2023-01-01 12:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,14085981,14085981,0.51314675807953,1635308,0.11609674990177
"2023-01-01 12:00:00","2023-01-01 13:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,13735338,13735338,0.50036150217056,1649538,0.12010200321674
"2023-01-01 13:00:00","2023-01-01 14:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,12644400,12644400,0.4606094956398,1673695,0.13257250189781
"2023-01-01 14:00:00","2023-01-01 15:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,10636245,10636245,0.38744801282883,1692409,0.15954574942589
"2023-01-01 15:00:00","2023-01-01 16:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,8817061,8817061,0.32117301225662,1730904,0.19673874974251
