"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2022-12-31 23:00:00","2023-01-01 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5522154,5522154,0.99347424507141,0,0
"2023-01-01 00:00:00","2023-01-01 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5523986,5523986,0.99379074573517,0,0
"2023-01-01 01:00:00","2023-01-01 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5498325,5498325,0.98916149139404,0,0
"2023-01-01 02:00:00","2023-01-01 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5473884,5473884,0.98475152254105,0,0
"2023-01-01 03:00:00","2023-01-01 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5485454,5485454,0.98681998252869,0,0
"2023-01-01 04:00:00","2023-01-01 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5495361,5495361,0.98859000205994,0,0
"2023-01-01 05:00:00","2023-01-01 06:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5443684,5443684,0.97928047180176,0,0
"2023-01-01 06:00:00","2023-01-01 07:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5328579,5328579,0.95856177806854,0,0
"2023-01-01 07:00:00","2023-01-01 08:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5083697,5083697,0.91449773311615,0,0
"2023-01-01 08:00:00","2023-01-01 09:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4752724,4752724,0.85494822263718,0,0
"2023-01-01 09:00:00","2023-01-01 10:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4475890,4475890,0.80513924360275,0,0
"2023-01-01 10:00:00","2023-01-01 11:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4487050,4487050,0.80713599920273,0,0
"2023-01-01 11:00:00","2023-01-01 12:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4702916,4702916,0.84595549106598,0,0
"2023-01-01 12:00:00","2023-01-01 13:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4560553,4560553,0.82033675909042,0,0
"2023-01-01 13:00:00","2023-01-01 14:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4314083,4314083,0.77599251270294,0,0
"2023-01-01 14:00:00","2023-01-01 15:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3530864,3530864,0.63510322570801,0,0
"2023-01-01 15:00:00","2023-01-01 16:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2575206,2575206,0.46320098638535,0,0
"2023-01-01 16:00:00","2023-01-01 17:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1625631,1625631,0.29239800572395,0,0
"2023-01-01 17:00:00","2023-01-01 18:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1363670,1363670,0.24527625739574,0,0
"2023-01-01 18:00:00","2023-01-01 19:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1556970,1556970,0.2800407409668,0,0
"2023-01-01 19:00:00","2023-01-01 20:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1653964,1653964,0.29748225212097,0,0
"2023-01-01 20:00:00","2023-01-01 21:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1402408,1402408,0.25223425030708,0,0
"2023-01-01 21:00:00","2023-01-01 22:00:00",Nederland,Wind,Hour,UTC,Providing,Current,787257,787257,0.14159250259399,0,0
"2023-01-01 22:00:00","2023-01-01 23:00:00",Nederland,Wind,Hour,UTC,Providing,Current,643706,643706,0.11577250063419,0,0
"2023-01-01 23:00:00","2023-01-02 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,918968,918968,0.16527700424194,0,0
"2023-01-02 00:00:00","2023-01-02 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1003133,1003133,0.18041199445724,0,0
"2023-01-02 01:00:00","2023-01-02 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1391392,1391392,0.25023651123047,0,0
"2023-01-02 02:00:00","2023-01-02 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1791195,1791195,0.32213523983955,0,0
"2023-01-02 03:00:00","2023-01-02 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2293853,2293853,0.41252973675728,0,0
"2023-01-02 04:00:00","2023-01-02 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2761059,2761059,0.49654650688171,0,0
"2023-01-02 05:00:00","2023-01-02 06:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2621082,2621082,0.47136723995209,0,0
"2023-01-02 06:00:00","2023-01-02 07:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2703567,2703567,0.48619449138641,0,0
"2023-01-02 07:00:00","2023-01-02 08:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2198991,2198991,0.39544925093651,0,0
"2023-01-02 08:00:00","2023-01-02 09:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1885222,1885222,0.33901923894882,0,0
"2023-01-02 09:00:00","2023-01-02 10:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1645563,1645563,0.29591724276543,0,0
"2023-01-02 10:00:00","2023-01-02 11:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1644498,1644498,0.29572173953056,0,0
"2023-01-02 11:00:00","2023-01-02 12:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1972160,1972160,0.35463926196098,0,0
"2023-01-02 12:00:00","2023-01-02 13:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2422837,2422837,0.435675740242,0,0
"2023-01-02 13:00:00","2023-01-02 14:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2347272,2347272,0.4220820069313,0,0
"2023-01-02 14:00:00","2023-01-02 15:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2073477,2073477,0.37284401059151,0,0
"2023-01-02 15:00:00","2023-01-02 16:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1921439,1921439,0.34550073742867,0,0
"2023-01-02 16:00:00","2023-01-02 17:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1671388,1671388,0.30053424835205,0,0
"2023-01-02 17:00:00","2023-01-02 18:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1311265,1311265,0.23577700555325,0,0
"2023-01-02 18:00:00","2023-01-02 19:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1022027,1022027,0.18376724421978,0,0
"2023-01-02 19:00:00","2023-01-02 20:00:00",Nederland,Wind,Hour,UTC,Providing,Current,932941,932941,0.16774649918079,0,0
"2023-01-02 20:00:00","2023-01-02 21:00:00",Nederland,Wind,Hour,UTC,Providing,Current,929352,929352,0.16709925234318,0,0
"2023-01-02 21:00:00","2023-01-02 22:00:00",Nederland,Wind,Hour,UTC,Providing,Current,864816,864816,0.15549349784851,0,0
"2023-01-02 22:00:00","2023-01-02 23:00:00",Nederland,Wind,Hour,UTC,Providing,Current,779713,779713,0.14019024372101,0,0
"2023-01-02 23:00:00","2023-01-03 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,551179,551179,0.09909900277853,0,0
"2023-01-03 00:00:00","2023-01-03 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,455914,455914,0.081969872117043,0,0
"2023-01-03 01:00:00","2023-01-03 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,339228,339228,0.060989800840616,0,0
"2023-01-03 02:00:00","2023-01-03 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,244236,244236,0.043910648673773,0,0
"2023-01-03 03:00:00","2023-01-03 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,195960,195960,0.035230748355389,0,0
"2023-01-03 04:00:00","2023-01-03 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,307062,307062,0.055204525589943,0,0
"2023-01-03 05:00:00","2023-01-03 06:00:00",Nederland,Wind,Hour,UTC,Providing,Current,416547,416547,0.074887074530125,0,0
"2023-01-03 06:00:00","2023-01-03 07:00:00",Nederland,Wind,Hour,UTC,Providing,Current,492322,492322,0.088508799672127,0,0
"2023-01-03 07:00:00","2023-01-03 08:00:00",Nederland,Wind,Hour,UTC,Providing,Current,673794,673794,0.12113200128078,0,0
"2023-01-03 08:00:00","2023-01-03 09:00:00",Nederland,Wind,Hour,UTC,Providing,Current,772503,772503,0.13887575268745,0,0
"2023-01-03 09:00:00","2023-01-03 10:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1215575,1215575,0.21852524578571,0,0
"2023-01-03 10:00:00","2023-01-03 11:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1721714,1721714,0.30951049923897,0,0
"2023-01-03 11:00:00","2023-01-03 12:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2291839,2291839,0.41199600696564,0,0
"2023-01-03 12:00:00","2023-01-03 13:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2683583,2683583,0.48241248726845,0,0
"2023-01-03 13:00:00","2023-01-03 14:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2984315,2984315,0.53646624088287,0,0
"2023-01-03 14:00:00","2023-01-03 15:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3026598,3026598,0.54406023025513,0,0
"2023-01-03 15:00:00","2023-01-03 16:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3031502,3031502,0.54493474960327,0,0
"2023-01-03 16:00:00","2023-01-03 17:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3161786,3161786,0.56834673881531,0,0
"2023-01-03 17:00:00","2023-01-03 18:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3758603,3758603,0.67561876773834,0,0
"2023-01-03 18:00:00","2023-01-03 19:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4400963,4400963,0.79107427597046,0,0
"2023-01-03 19:00:00","2023-01-03 20:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4820295,4820295,0.86643773317337,0,0
"2023-01-03 20:00:00","2023-01-03 21:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5038814,5038814,0.90570473670959,0,0
"2023-01-03 21:00:00","2023-01-03 22:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5181327,5181327,0.93130850791931,0,0
"2023-01-03 22:00:00","2023-01-03 23:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5329229,5329229,0.95788073539734,0,0
"2023-01-03 23:00:00","2023-01-04 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5433002,5433002,0.97652024030685,0,0
"2023-01-04 00:00:00","2023-01-04 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5454579,5454579,0.98038548231125,0,0
"2023-01-04 01:00:00","2023-01-04 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5496507,5496507,0.98790872097015,0,0
"2023-01-04 02:00:00","2023-01-04 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5529890,5529890,0.99389576911926,0,0
"2023-01-04 03:00:00","2023-01-04 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5536831,5536831,0.99513047933578,0,0
"2023-01-04 04:00:00","2023-01-04 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5538446,5538446,0.99540799856186,0,0
"2023-01-04 05:00:00","2023-01-04 06:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5529296,5529296,0.99375051259995,0,0
"2023-01-04 06:00:00","2023-01-04 07:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5525201,5525201,0.99300175905228,0,0
"2023-01-04 07:00:00","2023-01-04 08:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5526979,5526979,0.99330800771713,0,0
"2023-01-04 08:00:00","2023-01-04 09:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5526158,5526158,0.99314749240875,0,0
"2023-01-04 09:00:00","2023-01-04 10:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5515143,5515143,0.99115526676178,0,0
"2023-01-04 10:00:00","2023-01-04 11:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5538982,5538982,0.99542647600174,0,0
"2023-01-04 11:00:00","2023-01-04 12:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5538917,5538917,0.99540174007416,0,0
"2023-01-04 12:00:00","2023-01-04 13:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5535833,5535833,0.99483501911163,0,0
"2023-01-04 13:00:00","2023-01-04 14:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5516831,5516831,0.99140727519989,0,0
"2023-01-04 14:00:00","2023-01-04 15:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5504330,5504330,0.98914748430252,0,0
"2023-01-04 15:00:00","2023-01-04 16:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5484822,5484822,0.98562926054001,0,0
"2023-01-04 16:00:00","2023-01-04 17:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5492467,5492467,0.98699027299881,0,0
"2023-01-04 17:00:00","2023-01-04 18:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5498435,5498435,0.98804974555969,0,0
"2023-01-04 18:00:00","2023-01-04 19:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5511185,5511185,0.99032825231552,0,0
