"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2021-12-31 23:00:00","2022-01-01 00:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1865500,1865500,0.84915101528168,0,0
"2022-01-01 00:00:00","2022-01-01 01:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1839500,1839500,0.83731627464294,0,0
"2022-01-01 01:00:00","2022-01-01 02:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1429250,1429250,0.65057551860809,0,0
"2022-01-01 02:00:00","2022-01-01 03:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1349250,1349250,0.61416101455688,0,0
"2022-01-01 03:00:00","2022-01-01 04:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1436000,1436000,0.65364825725555,0,0
"2022-01-01 04:00:00","2022-01-01 05:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1405750,1405750,0.63987874984741,0,0
"2022-01-01 05:00:00","2022-01-01 06:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1564250,1564250,0.71202623844147,0,0
"2022-01-01 06:00:00","2022-01-01 07:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1576499,1576499,0.71760147809982,0,0
"2022-01-01 07:00:00","2022-01-01 08:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1465751,1465751,0.66719049215317,0,0
"2022-01-01 08:00:00","2022-01-01 09:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1503250,1503250,0.68425977230072,0,0
"2022-01-01 09:00:00","2022-01-01 10:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1858250,1858250,0.84585100412369,0,0
"2022-01-01 10:00:00","2022-01-01 11:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2041000,2041000,0.92903649806976,0,0
"2022-01-01 11:00:00","2022-01-01 12:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2153499,2153499,0.98024427890778,0,0
"2022-01-01 12:00:00","2022-01-01 13:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2178000,2178000,0.99139702320099,0,0
"2022-01-01 13:00:00","2022-01-01 14:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2186501,2186501,0.99526673555374,0,0
"2022-01-01 14:00:00","2022-01-01 15:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2141001,2141001,0.9745557308197,0,0
"2022-01-01 15:00:00","2022-01-01 16:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1951751,1951751,0.88841152191162,0,0
"2022-01-01 16:00:00","2022-01-01 17:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2056000,2056000,0.93586426973343,0,0
"2022-01-01 17:00:00","2022-01-01 18:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2182251,2182251,0.99333149194717,0,0
"2022-01-01 18:00:00","2022-01-01 19:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2215250,2215250,1.0083550214767,0,0
"2022-01-01 19:00:00","2022-01-01 20:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2172501,2172501,0.98889422416687,0,0
"2022-01-01 20:00:00","2022-01-01 21:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1938250,1938250,0.88226598501205,0,0
"2022-01-01 21:00:00","2022-01-01 22:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1937750,1937750,0.88203847408295,0,0
"2022-01-01 22:00:00","2022-01-01 23:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2072000,2072000,0.94314700365067,0,0
"2022-01-01 23:00:00","2022-01-02 00:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2039751,2039751,0.92846775054932,0,0
"2022-01-02 00:00:00","2022-01-02 01:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2049001,2049001,0.93267822265625,0,0
"2022-01-02 01:00:00","2022-01-02 02:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2151999,2151999,0.97956174612045,0,0
"2022-01-02 02:00:00","2022-01-02 03:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2202001,2202001,1.0023225545883,0,0
"2022-01-02 03:00:00","2022-01-02 04:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2157250,2157250,0.98195147514343,0,0
"2022-01-02 04:00:00","2022-01-02 05:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2037500,2037500,0.92744326591492,0,0
"2022-01-02 05:00:00","2022-01-02 06:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1941750,1941750,0.88385927677155,0,0
"2022-01-02 06:00:00","2022-01-02 07:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2109750,2109750,0.96033048629761,0,0
"2022-01-02 07:00:00","2022-01-02 08:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2108749,2108749,0.95987474918365,0,0
"2022-01-02 08:00:00","2022-01-02 09:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2110250,2110250,0.96055823564529,0,0
"2022-01-02 09:00:00","2022-01-02 10:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2147751,2147751,0.97762799263,0,0
"2022-01-02 10:00:00","2022-01-02 11:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2204500,2204500,1.0034607648849,0,0
"2022-01-02 11:00:00","2022-01-02 12:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2177500,2177500,0.99116951227188,0,0
"2022-01-02 12:00:00","2022-01-02 13:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2135499,2135499,0.97205126285553,0,0
