"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2021-12-31 23:00:00","2022-01-01 00:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2022-01-01 00:00:00","2022-01-01 01:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2022-01-01 01:00:00","2022-01-01 02:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2022-01-01 02:00:00","2022-01-01 03:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2022-01-01 03:00:00","2022-01-01 04:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2022-01-01 04:00:00","2022-01-01 05:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2022-01-01 05:00:00","2022-01-01 06:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2022-01-01 06:00:00","2022-01-01 07:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2022-01-01 07:00:00","2022-01-01 08:00:00",Nederland,Solar,Hour,UTC,Providing,Current,3555,3555,0.00028713251231238,0,0
"2022-01-01 08:00:00","2022-01-01 09:00:00",Nederland,Solar,Hour,UTC,Providing,Current,234384,234384,0.018930235877633,0,0
"2022-01-01 09:00:00","2022-01-01 10:00:00",Nederland,Solar,Hour,UTC,Providing,Current,984760,984760,0.079532496631145,0,0
"2022-01-01 10:00:00","2022-01-01 11:00:00",Nederland,Solar,Hour,UTC,Providing,Current,1800825,1800825,0.14543549716473,0,0
"2022-01-01 11:00:00","2022-01-01 12:00:00",Nederland,Solar,Hour,UTC,Providing,Current,2463338,2463338,0.19893324375153,0,0
"2022-01-01 12:00:00","2022-01-01 13:00:00",Nederland,Solar,Hour,UTC,Providing,Current,2296450,2296450,0.18544924259186,0,0
"2022-01-01 13:00:00","2022-01-01 14:00:00",Nederland,Solar,Hour,UTC,Providing,Current,1676343,1676343,0.13536749780178,0,0
"2022-01-01 14:00:00","2022-01-01 15:00:00",Nederland,Solar,Hour,UTC,Providing,Current,850689,850689,0.068692125380039,0,0
"2022-01-01 15:00:00","2022-01-01 16:00:00",Nederland,Solar,Hour,UTC,Providing,Current,159324,159324,0.012864855118096,0,0
"2022-01-01 16:00:00","2022-01-01 17:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2022-01-01 17:00:00","2022-01-01 18:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2022-01-01 18:00:00","2022-01-01 19:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2022-01-01 19:00:00","2022-01-01 20:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2022-01-01 20:00:00","2022-01-01 21:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2022-01-01 21:00:00","2022-01-01 22:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2022-01-01 22:00:00","2022-01-01 23:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2022-01-01 23:00:00","2022-01-02 00:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2022-01-02 00:00:00","2022-01-02 01:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2022-01-02 01:00:00","2022-01-02 02:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2022-01-02 02:00:00","2022-01-02 03:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2022-01-02 03:00:00","2022-01-02 04:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2022-01-02 04:00:00","2022-01-02 05:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2022-01-02 05:00:00","2022-01-02 06:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2022-01-02 06:00:00","2022-01-02 07:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2022-01-02 07:00:00","2022-01-02 08:00:00",Nederland,Solar,Hour,UTC,Providing,Current,1568,1568,0.00012653300655074,0,0
"2022-01-02 08:00:00","2022-01-02 09:00:00",Nederland,Solar,Hour,UTC,Providing,Current,72491,72491,0.0058496375568211,0,0
"2022-01-02 09:00:00","2022-01-02 10:00:00",Nederland,Solar,Hour,UTC,Providing,Current,686542,686542,0.055398423224688,0,0
"2022-01-02 10:00:00","2022-01-02 11:00:00",Nederland,Solar,Hour,UTC,Providing,Current,1527681,1527681,0.12326750159264,0,0
